refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.803467,2,2,1,4050,cluster18
0.947433,2,2,1,4040,cluster18
0.97395,2,2,1,4030,cluster18
1.0894,2,2,1,4020,cluster18
1.07427,2,2,1,4010,cluster18
1.09793,2,2,1,4000,cluster18
1.09745,2,1,1,3590,cluster18
1.32975,2,1,1,3580,cluster18
1.33602,2,1,1,3570,cluster18
1.34113,2,1,1,3560,cluster18
2.57128,2,1,1,3550,cluster18
2.59702,2,1,1,3540,cluster18
2.07227,2,1,1,3350,cluster18
1.99612,2,1,1,3340,cluster18
1.98493,2,1,1,3330,cluster18
2.0802,2,1,1,3320,cluster18
2.16962,2,1,1,3310,cluster18
2.0998,2,1,1,3300,cluster18
2.00128,2,1,1,3290,cluster18
2.02865,2,1,1,3280,cluster18
2.00715,2,1,1,3270,cluster18
1.97828,2,1,1,3260,cluster18
1.74672,2,1,1,3250,cluster18
1.74757,2,1,1,3240,cluster18
1.59542,2,1,1,3230,cluster18
1.78317,1,1,1,3140,cluster18
0.417416,2,1,1,3540,cluster18
0.420567,2,1,1,3530,cluster18
0.468453,2,1,1,3520,cluster18
0.50824,2,1,1,3510,cluster18
0.47387,2,1,1,3500,cluster18
0.811007,2,1,1,3490,cluster18
1.35792,2,1,1,3480,cluster18
0.952641,2,1,1,3470,cluster18
1.29323,2,1,1,3460,cluster18
2.16903,2,1,1,3450,cluster18
2.40812,2,1,1,3440,cluster18
2.4703,2,1,1,3430,cluster18
2.47227,2,1,1,3420,cluster18
2.4521,2,1,1,3410,cluster18
2.46236,2,1,1,3400,cluster18
2.26724,2,1,1,3390,cluster18
2.31959,2,1,1,3380,cluster18
2.12602,2,1,1,3370,cluster18
0.96729,2,1,1,3360,cluster18
1.15857,2,1,1,3350,cluster18
1.33591,2,1,1,3340,cluster18
1.04243,2,1,1,3330,cluster18
0.913917,2,1,1,3320,cluster18
0.920814,2,1,1,3310,cluster18
0.92692,2,1,1,3300,cluster18
0.720554,2,1,1,3290,cluster18
2.01757,2,1,1,3280,cluster18
2.04911,2,1,1,3270,cluster18
1.82079,2,1,1,3260,cluster18
1.79647,2,1,1,3250,cluster18
1.83546,2,1,1,3240,cluster18
1.94209,2,1,1,3230,cluster18
2.08948,2,1,1,3220,cluster18
1.92126,2,1,1,3210,cluster18
1.83922,2,1,1,3200,cluster18
1.83493,2,1,1,3190,cluster18
1.864,2,1,1,3180,cluster18
1.82789,2,1,1,3170,cluster18
1.84002,2,1,1,3160,cluster18
1.82682,2,1,1,3150,cluster18
1.83795,2,1,1,3140,cluster18
1.48782,4,3,1,12160,cluster18
1.43062,4,3,1,12150,cluster18
1.4415,4,3,1,12140,cluster18
1.42438,4,3,1,12130,cluster18
1.4271,4,3,1,12120,cluster18
1.39572,4,3,1,12110,cluster18
0.361433,4,1,1,350,cluster18
0.39075,4,1,1,340,cluster18
0.318267,4,1,1,330,cluster18
0.317218,4,1,1,320,cluster18
0.330218,4,1,1,310,cluster18
0.334151,4,1,1,300,cluster18
0.377767,4,1,1,290,cluster18
0.372317,4,1,1,280,cluster18
0.770433,4,3,1,12030,cluster18
0.361217,3,1,1,1070,cluster18
0.328949,3,1,1,1060,cluster18
0.301323,3,0,1,16320,cluster18
